01 Jul 2003,60.16,61.2,59.6,59.83,24902,,,,
02 Jul 2003,60.8,63.92,59.84,62.36,101184,,,,
03 Jul 2003,63.2,65.28,62.4,63.07,86616,,,,
04 Jul 2003,63.2,65.58,63.2,64.72,74907,,,,
07 Jul 2003,64.8,66.49,64.8,65.24,42083,,,,
08 Jul 2003,66,66.79,65.59,66.28,42274,,,,
09 Jul 2003,66.4,66.68,64,64.42,27984,,,,
10 Jul 2003,64.4,65.52,64.18,64.61,24001,,,,
11 Jul 2003,64.56,66.96,64.4,66.21,44257,,,,
14 Jul 2003,66.9,67.19,65.76,66.2,36793,,,,
15 Jul 2003,66.96,66.96,65.2,65.83,27536,,,,
16 Jul 2003,66,66.32,65.76,65.91,6144,,,,
17 Jul 2003,65.62,66.4,64.32,64.92,18764,,,,
18 Jul 2003,66,66,64.08,64.27,22623,,,,
21 Jul 2003,64.4,64.88,60.4,60.82,54910,,,,
22 Jul 2003,60.16,63.92,60.16,61.96,91904,,,,
23 Jul 2003,62.36,63.12,60.48,60.9,73758,,,,
24 Jul 2003,61.44,62.36,60.64,61.99,33125,,,,
25 Jul 2003,62,63.2,61.68,62.75,23380,,,,
28 Jul 2003,63.2,65.6,63.2,65.21,52033,,,,
29 Jul 2003,65.2,66,64.8,65.65,28883,,,,
30 Jul 2003,65.68,67.04,64.4,66.82,37948,,,,
31 Jul 2003,66.72,66.88,64.96,65.66,28408,,,,
01 Aug 2003,65.84,66.82,64,64.41,54443,,,,
04 Aug 2003,62,65.18,56.88,64.83,118338,,,,
05 Aug 2003,64.8,69.76,64,69.11,262952,,,,
06 Aug 2003,68.4,69.6,65.6,66.4,61659,,,,
07 Aug 2003,68,68.72,66.24,68.46,34361,,,,
08 Aug 2003,68,70.4,68,69.76,65948,,,,
11 Aug 2003,68.37,70.72,65.95,69.7,49120,,,,
12 Aug 2003,69.68,70.16,68.49,68.72,30354,,,,
13 Aug 2003,69.2,69.6,68.16,68.92,15126,,,,
14 Aug 2003,68.4,69.28,68.24,68.5,7376,,,,
18 Aug 2003,68,68.78,67.6,67.88,14839,,,,
19 Aug 2003,68,68.39,66.88,67.15,17930,,,,
20 Aug 2003,67.2,68.63,66.88,67.58,18574,,,,
21 Aug 2003,68,69.34,67.6,68.39,40587,,,,
22 Aug 2003,68.32,72.4,68.16,71.95,88519,,,,
25 Aug 2003,73.6,74.8,69.2,71.02,123652,,,,
26 Aug 2003,72,72.95,70.8,72.48,40066,,,,
27 Aug 2003,73.2,73.44,71.52,71.85,38349,,,,
28 Aug 2003,72.88,73.6,72.4,73.39,39732,,,,
29 Aug 2003,74,82,74,80.84,224809,,,,
01 Sep 2003,84,84.8,80.72,83.06,157053,,,,
02 Sep 2003,83.6,83.9,80.32,81.9,99795,,,,
03 Sep 2003,82.4,82.96,79.04,79.33,56386,,,,
04 Sep 2003,80,80.4,77.2,79.28,79406,,,,
05 Sep 2003,76,79.84,76,78.14,73171,,,,
08 Sep 2003,78.16,82.16,78.16,79.88,237022,,,,
09 Sep 2003,80.8,82.72,79.2,80.02,234089,,,,
10 Sep 2003,80.4,82.88,78,81.56,121328,,,,
11 Sep 2003,82.38,84.35,82,83.53,163959,,,,
12 Sep 2003,84.08,85.22,82.08,82.47,132074,,,,
15 Sep 2003,84.32,84.32,79.92,80.29,39081,,,,
16 Sep 2003,80.4,81.64,78.8,81.04,98115,,,,
17 Sep 2003,82,82.24,79.36,79.82,41879,,,,
18 Sep 2003,80.8,80.8,77.84,78.57,99226,,,,
19 Sep 2003,79.04,79.44,76,77.68,84513,,,,
22 Sep 2003,78.72,79.2,76,76.01,66049,,,,
23 Sep 2003,76.16,77.92,74.4,77.57,51588,,,,
24 Sep 2003,78.11,78.8,77.12,78.37,39898,,,,
25 Sep 2003,77.69,80.8,77.69,79.92,54219,,,,
26 Sep 2003,80.24,82.96,80.08,82.52,64472,,,,
29 Sep 2003,83.2,83.2,80.58,81.06,70383,,,,
30 Sep 2003,82,82.96,81.6,82.36,48231,,,,
01 Oct 2003,82.4,83.2,81.29,82.81,71978,,,,
03 Oct 2003,82.88,84.08,82.24,83.74,70144,,,,
06 Oct 2003,88.87,88.87,83.2,83.52,56282,,,,
07 Oct 2003,83.92,84.4,83.2,83.64,65727,,,,
08 Oct 2003,83.76,85.2,83.28,84.4,66047,,,,
09 Oct 2003,85.07,85.92,84.57,84.88,52225,,,,
10 Oct 2003,85.2,86,84,84.75,25092,,,,
13 Oct 2003,84,85.2,82.96,83.54,32600,,,,
14 Oct 2003,84,89.1,83.36,87.24,138810,,,,
15 Oct 2003,86.4,90.56,82.3,89.36,247695,,,,
16 Oct 2003,90.19,96.8,90,96.18,224065,,,,
17 Oct 2003,97.2,97.2,93.6,94.12,47866,,,,
20 Oct 2003,93.68,95.08,92.64,93.83,48791,,,,
21 Oct 2003,94.24,94.8,92.56,93.23,51580,,,,
22 Oct 2003,92.8,94.2,91.68,92.47,76460,,,,
23 Oct 2003,92.56,93.2,90.01,90.77,40386,,,,
24 Oct 2003,91.2,91.43,89.24,90.98,39910,,,,
25 Oct 2003,91.64,92,91.2,91.54,4684,,,,
27 Oct 2003,93.2,94.16,91.2,91.88,41241,,,,
28 Oct 2003,91.91,93.74,91.91,92.56,151173,,,,
29 Oct 2003,92.8,94,92.8,93.7,27689,,,,
30 Oct 2003,93.8,99.6,93.8,98.2,92400,,,,
31 Oct 2003,99,105.6,98.44,103.9,135660,,,,
03 Nov 2003,102.4,102.4,95.04,99.36,181624,,,,
04 Nov 2003,100,101,96.08,96.53,57925,,,,
05 Nov 2003,98.12,98.8,93.6,94.28,71573,,,,
06 Nov 2003,95.52,96.48,93.77,94.27,50240,,,,
07 Nov 2003,94.8,95.12,91.69,92.02,36276,,,,
10 Nov 2003,93.6,93.75,91.84,92.12,22530,,,,
11 Nov 2003,92.56,94,92.03,92.96,28584,,,,
12 Nov 2003,95.04,95.04,93.2,93.57,23970,,,,
13 Nov 2003,94.56,94.68,91.68,92.09,18345,,,,
14 Nov 2003,92.32,93.08,90,90.52,17865,,,,
15 Nov 2003,91.92,91.92,89.92,90.94,4521,,,,
17 Nov 2003,90.08,91.51,89.02,89.35,25357,,,,
18 Nov 2003,89.68,91.12,89.2,89.4,13097,,,,
19 Nov 2003,89.6,89.6,88.24,89.01,30741,,,,
20 Nov 2003,89.2,89.76,88.8,88.8,18491,,,,
21 Nov 2003,88.8,89.6,86.56,88.3,35082,,,,
24 Nov 2003,89.75,89.92,88,88.15,15158,,,,
25 Nov 2003,88.8,90.8,88.4,90.58,13373,,,,
27 Nov 2003,90.8,96.4,90.58,95.9,89510,,,,
