01 Jul 2003,100.34,102.08,98.84,100.34,2159620,,,,
02 Jul 2003,101.02,102.96,100.75,101.93,1835625,,,,
03 Jul 2003,104,104.05,100.81,101.55,1451598,,,,
04 Jul 2003,101.43,102.91,100.93,101.79,752725,,,,
07 Jul 2003,101.34,104.58,101.05,103.41,1178706,,,,
08 Jul 2003,104.88,105.73,102.64,102.93,1430607,,,,
09 Jul 2003,103.17,103.41,101.2,101.43,711197,,,,
10 Jul 2003,101.93,104.88,101.46,104.47,1433995,,,,
11 Jul 2003,106.06,108.89,105.03,108.33,2624736,,,,
14 Jul 2003,109.59,112.8,108.71,112.19,1709364,,,,
15 Jul 2003,113.72,114.13,109.95,112.54,2744834,,,,
16 Jul 2003,114.31,117.52,112.3,117.13,2731953,,,,
17 Jul 2003,117.55,120.2,114.13,114.72,2999731,,,,
18 Jul 2003,113.78,117.13,113.57,116.16,2712864,,,,
21 Jul 2003,116.37,118.67,111.68,112.3,3700892,,,,
22 Jul 2003,111.36,113.54,108.74,109.59,3773654,,,,
23 Jul 2003,109.74,113.28,107.94,110.01,6621510,,,,
24 Jul 2003,110.92,113.01,110.42,112.51,2400651,,,,
25 Jul 2003,113.01,117.25,112.54,116.55,2265889,,,,
28 Jul 2003,119.02,121.97,118.52,119.61,3247089,,,,
29 Jul 2003,121.32,124.56,118.49,124.18,4634524,,,,
30 Jul 2003,124.59,125.74,122.64,123.06,2853401,,,,
31 Jul 2003,124.03,125.09,121.38,122.64,2863037,,,,
01 Aug 2003,123.73,126.8,122.7,126.3,3328119,,,,
04 Aug 2003,123.73,129.21,123.73,128.77,3025114,,,,
05 Aug 2003,130.22,130.36,125.8,127.3,3078446,,,,
06 Aug 2003,126.68,130.63,126.33,127.86,4164656,,,,
07 Aug 2003,128.39,132.98,127.33,132.42,3263198,,,,
08 Aug 2003,133.25,137.99,132.54,137.29,5950782,,,,
11 Aug 2003,137.88,141.12,135.52,139.73,3741946,,,,
