27 Sep 2013,946.10
10:01,924.50,6620000
10:05,924.30,6850000
10:11,922.30,7210000
10:15,922.40,7480000
10:21,923.70,7790000
10:27,921.95,8790000
10:31,922.50,9090000
10:37,924.00,9420000
10:41,924.15,9530000
10:45,924.60,9650000
10:51,923.00,9900000
10:57,923.80,9990000
11:01,922.35,10110000
11:05,921.55,10580000
11:11,919.10,11170000
11:15,920.50,11350000
11:21,919.70,11660000
11:27,919.30,11920000
11:31,919.45,12060000
11:37,921.00,12290000
11:41,921.50,12490000
11:47,923.00,13180000
11:49,921.75,13230000
11:55,922.60,13490000
12:01,924.20,13690000
12:05,922.65,13870000
12:11,920.00,14040000
12:17,917.50,14770000
12:21,919.25,15010000
12:26,920.05,15180000
12:31,918.25,15420000
12:33,918.10,15450000
12:37,917.75,15730000
12:39,919.20,15840000
12:43,919.15,15980000
12:45,919.40,16050000
12:49,919.10,16219999
12:51,920.20,16290000
12:55,920.15,16500000
12:57,920.15,16559999
12:59,918.40,16610000
13:03,919.50,16750000
13:06,920.00,16790000
13:09,919.60,16890000
13:13,919.75,17030000
13:15,919.60,17080000
13:19,920.85,17200000
13:21,919.40,17250000
13:25,920.15,17340000
13:27,920.35,17460000
13:31,920.00,17540000
13:33,921.75,17620000
13:37,920.10,17710000
13:41,920.40,17830000
13:43,921.35,17880000
13:45,920.90,17940000
13:49,922.15,18170000
13:51,921.20,18240000
13:55,925.65,18950000
13:57,926.55,19350000
14:01,926.20,20070000
14:03,926.85,20350000
14:07,925.75,20820000
14:09,925.60,20930000
14:13,926.00,21110000
14:15,926.50,21210000
14:19,926.75,21580000
14:21,926.85,21750000
14:25,927.00,22000000
14:27,926.35,22640000
14:31,925.40,23250000
14:33,924.50,23670000
14:37,925.85,24070000
14:39,926.00,24190000
