17 Jan 2014,2350.30
09:07,2298.00,12650
09:20,2275.00,353999
09:25,2270.00,515426
09:30,2272.00,630091
09:35,2271.50,704105
09:40,2252.15,996570
09:45,2250.30,1138688
09:50,2249.80,1263431
09:54,2248.05,1316855
10:00,2260.25,1386062
10:05,2258.00,1438004
10:10,2252.00,1479712
10:15,2247.75,1510395
10:20,2253.90,1537929
10:25,2252.85,1560526
10:30,2254.30,1582663
10:35,2250.20,1612142
10:40,2250.75,1634341
10:45,2250.45,1649790
10:50,2244.65,1702701
10:55,2244.90,1766231
11:00,2240.45,1860713
11:05,2245.60,1918772
11:10,2238.65,1968239
11:15,2238.50,2025590
11:20,2238.70,2056509
11:25,2238.00,2083539
11:30,2234.90,2117018
11:35,2236.45,2144540
11:40,2237.50,2161278
11:45,2236.60,2177362
11:50,2233.90,2193809
11:55,2230.95,2246404
12:00,2230.00,2268555
12:05,2222.55,2328281
12:10,2230.00,2382848
12:15,2231.95,2421525
12:20,2233.50,2441664
12:25,2232.50,2458658
12:30,2233.55,2481162
12:35,2238.05,2519289
12:40,2234.85,2548050
12:45,2234.65,2561750
12:50,2235.45,2572781
12:55,2234.00,2588654
13:00,2234.00,2607239
13:05,2233.80,2631018
13:10,2233.80,2643368
13:15,2232.50,2654686
13:20,2231.15,2677892
13:25,2232.40,2690134
13:30,2230.10,2711066
13:35,2227.95,2734017
13:40,2227.30,2762408
13:45,2223.00,2784332
13:50,2223.80,2810548
13:55,2222.05,2830460
14:00,2230.50,2859486
14:05,2229.00,2879546
