17 Jan 2014,162.10
09:07,162.35,3840
09:20,162.35,161865
09:25,162.50,266675
09:29,163.15,480600
09:35,163.70,633226
09:40,163.10,741300
09:45,163.35,838472
09:50,163.50,897723
09:55,163.25,945232
10:00,163.80,1048456
10:05,163.80,1190779
10:10,163.60,1275614
10:15,163.80,1313633
10:20,163.60,1359430
10:25,163.45,1392776
10:30,163.30,1423353
10:35,163.15,1472081
10:40,163.10,1503993
10:45,163.20,1523128
10:50,163.20,1551642
10:55,163.35,1570870
11:00,163.35,1586229
11:05,163.50,1617441
11:10,163.30,1624088
11:15,163.35,1630259
11:20,163.15,1650798
11:25,162.65,1840712
11:29,162.35,1917247
11:34,162.55,1968030
11:40,162.50,1989241
11:45,161.75,2154686
11:50,162.00,2212220
11:55,161.70,2256165
12:00,162.00,2288771
12:05,161.70,2323995
12:10,161.65,2383516
12:15,160.90,2575839
12:20,160.55,2699205
12:25,160.20,2799632
12:30,160.20,2889747
12:35,160.45,2936101
12:40,160.15,2971434
12:45,158.95,3249985
12:50,159.40,3329375
12:55,159.10,3381544
13:00,159.05,3424236
13:05,158.70,3520464
13:10,158.60,3562905
13:15,157.60,3785611
13:20,158.10,3856935
13:25,158.00,3916444
13:30,157.95,3977250
13:35,158.10,4032913
13:40,158.25,4103906
13:45,158.00,4140638
13:50,157.95,4180093
13:55,157.90,4211852
14:00,157.45,4303567
14:05,157.40,4448987
14:10,157.40,4554500
14:15,157.30,4619606
14:20,157.65,4751258
14:25,157.70,4806535
14:35,156.60,5017506
14:40,155.60,5329449
14:45,155.65,5587678
14:50,155.50,5721890
14:55,154.60,5966798
15:00,155.35,6084045
15:05,155.00,6287464
15:10,155.35,6429396
15:15,155.90,6570935
15:20,155.35,6898090
15:25,155.35,7041766
15:30,155.20,7232938
15:31,155.35,7232938
15:44,155.35,7235498
15:49,155.35,7235874
15:54,155.35,7236093
16:00,155.35,7238988
