17 Jan 2014,302.70
09:01,275.00,0
09:04,279.40,0
09:07,277.00,0
09:08,275.00,0
09:16,279.90,66027
09:17,279.10,86593
09:20,279.05,149596
09:23,278.35,186157
09:26,277.35,211412
09:29,278.00,220495
09:32,277.45,247440
09:35,277.50,259968
09:38,277.60,268829
09:41,278.30,276667
09:43,278.10,280356
09:46,277.55,286471
09:49,277.50,289676
09:52,277.00,301746
09:55,276.10,307602
09:58,275.95,314950
10:01,276.25,321500
10:04,276.10,327233
10:07,276.45,328877
10:10,276.55,330849
10:16,276.45,333822
10:18,276.60,335826
10:21,276.95,338602
10:24,277.00,342308
10:26,277.00,343358
10:29,276.90,345705
10:32,277.05,346180
10:34,276.75,347418
10:38,275.80,352336
10:41,275.95,356906
10:44,275.60,361835
10:47,274.90,377778
10:50,274.75,386064
10:53,275.00,389422
10:56,274.15,393686
10:59,274.10,399391
11:02,274.00,402714
11:05,274.40,406614
11:09,274.75,412788
11:10,274.70,411406
11:12,274.90,415933
11:15,274.90,416947
11:18,274.90,419003
11:21,274.65,424595
11:24,274.05,427467
11:27,274.65,428911
11:30,274.55,431203
11:33,274.70,432935
11:35,274.75,434575
11:38,274.65,436362
11:41,274.45,438780
11:44,274.55,441435
11:47,274.60,443976
11:50,274.60,444690
11:54,274.85,446072
11:57,274.75,446741
12:03,274.60,450228
12:06,274.55,451952
12:08,275.00,453007
12:12,274.90,455677
12:15,275.00,456914
12:17,275.00,459724
12:21,275.15,462552
12:24,274.80,462992
12:27,274.40,464629
12:30,274.30,466949
12:33,274.20,480009
12:36,274.45,480567
12:39,274.40,481187
12:41,274.35,482652
12:45,274.00,484127
12:48,274.10,484839
12:51,274.25,485440
12:54,273.70,490801
12:57,273.45,493250
12:59,273.85,494349
13:03,274.15,497606
13:06,274.20,497993
13:09,274.15,499184
13:12,274.20,500021
13:18,273.80,501670
13:21,273.70,502401
13:24,273.85,502915
13:27,273.85,505107
13:30,273.70,505799
13:32,273.70,506179
13:36,273.30,511952
13:39,273.25,515305
13:42,273.25,516896
13:45,273.20,521022
13:47,273.20,530072
13:51,273.50,537069
13:54,273.40,537445
13:57,273.20,540380
14:00,273.50,541018
14:03,273.25,543028
14:06,273.45,547993
14:09,273.50,551270
14:12,273.55,552798
14:15,273.85,553587
14:18,274.35,555522
14:21,274.15,557604
14:24,273.90,561087
14:27,273.70,561930
14:30,273.75,564732
14:34,273.85,572739
14:36,273.05,575745
14:40,273.05,578924
14:43,272.85,583416
14:45,272.90,784689
14:49,272.80,792590
14:51,272.20,795622
14:55,272.65,800194
14:58,272.85,804357
15:00,272.80,818653
15:04,272.30,1871257
15:06,272.35,1873464
15:09,272.15,1981005
15:12,272.35,2184373
15:16,272.15,2195207
15:19,272.20,2205143
15:21,272.00,2213076
15:24,271.50,2220763
15:27,271.80,2231104
15:30,272.00,2245806
15:34,272.00,2245806
15:35,272.00,2245806
