17 Jan 2014,886.15
09:07,889.15,1074
09:20,889.40,42519
09:25,889.85,61371
09:30,890.25,85704
09:35,890.55,108303
09:40,890.50,125819
09:45,889.45,137555
09:50,889.20,149705
09:55,889.20,159638
10:00,889.65,168757
10:05,889.40,187486
10:10,890.50,254041
10:15,890.85,276555
10:20,891.80,310942
10:25,892.85,346610
10:30,893.75,383094
10:35,892.20,423791
10:40,893.75,441417
10:45,894.25,468158
10:50,894.65,494399
10:55,895.25,560171
11:00,894.50,578755
11:05,896.60,634445
11:10,895.70,663026
11:15,895.75,708617
11:20,895.65,771589
11:25,894.85,809626
11:30,894.00,831246
11:35,894.20,861690
11:40,894.40,878665
11:45,893.70,903347
11:50,894.85,938275
11:55,894.15,953881
12:00,894.45,974113
12:05,893.05,1011322
12:10,893.40,1026133
12:15,892.65,1058141
12:20,892.65,1099511
12:25,892.35,1126777
12:30,892.00,1177816
12:35,891.90,1198682
12:40,892.35,1206385
12:45,892.70,1488045
12:50,894.00,1501295
12:55,893.90,1518580
13:00,894.25,1526870
13:05,892.80,1542564
13:10,893.15,1550202
13:15,893.60,1556545
13:20,893.95,1726976
13:25,894.30,1737290
13:30,894.10,1759831
13:35,894.90,1809867
13:40,896.00,1873911
13:45,895.50,1908627
13:50,895.20,1939183
13:55,894.95,1980248
14:00,894.20,2011222
14:05,894.40,2046402
