17 Jan 2014,381.00
09:01,384.50,0
09:04,360.00,0
09:07,383.00,0
09:08,383.00,0
09:16,383.00,4396
09:17,383.30,8299
09:20,382.50,18883
09:23,383.00,23186
09:26,383.85,30299
09:29,384.00,34371
09:32,384.10,41019
09:35,384.65,48429
09:38,384.45,52025
09:41,384.35,54972
09:43,384.30,55974
09:46,383.30,61631
09:49,383.65,64294
09:52,383.30,67031
09:55,383.35,67679
09:58,383.05,71349
10:01,382.70,72823
10:04,383.05,77447
10:07,383.25,80198
10:10,383.00,82841
10:16,383.20,84183
10:18,384.15,88200
10:21,385.00,96492
10:24,384.70,109707
10:26,384.40,111648
10:29,384.25,111998
10:32,384.65,113899
10:34,384.20,116106
10:38,383.85,117547
10:41,383.75,118892
10:44,384.50,119699
10:47,384.45,119946
10:50,384.25,122405
10:53,384.50,122997
10:56,384.55,125951
10:59,385.20,129686
11:02,384.25,131320
11:05,385.00,133881
11:09,384.95,134947
11:10,384.80,135100
11:12,384.55,136145
11:15,384.65,136454
11:18,384.70,136965
11:21,382.85,145030
11:24,383.20,148585
11:27,383.30,150497
11:30,383.00,153088
11:33,383.20,155261
11:35,383.10,155650
11:38,383.15,156148
11:41,383.30,156938
11:44,382.45,160435
11:47,382.25,164056
11:50,382.65,166604
11:54,382.60,168047
11:57,381.50,175740
12:03,379.15,199732
12:06,378.65,207600
12:08,378.95,211029
12:12,379.30,213656
12:15,379.30,216257
12:17,379.50,217007
12:21,379.50,222359
12:24,379.60,223681
12:27,377.30,227955
12:30,378.15,231247
12:33,378.25,235266
12:36,378.25,236180
12:39,377.75,240307
12:41,377.65,241419
12:45,376.50,251521
12:48,377.65,259210
12:51,377.95,262174
12:54,377.65,264341
12:57,377.65,266141
12:59,377.65,266994
13:03,376.80,270815
13:06,377.40,284804
13:09,377.35,285651
13:12,376.65,290314
13:18,376.60,295926
13:21,377.20,297587
13:24,377.35,300510
13:27,377.15,301218
13:30,376.55,303554
13:32,375.80,309477
13:36,377.10,315245
13:39,376.70,315557
13:42,377.60,318077
13:45,377.80,318684
13:47,377.70,319438
13:51,377.75,321137
