17 Jan 2014,552.00
09:01,553.50,0
09:04,553.50,0
09:07,553.50,0
09:08,553.50,0
09:16,553.00,290
09:17,553.90,650
09:20,553.45,1383
09:23,554.00,1810
09:26,553.90,2417
09:29,553.70,2442
09:32,553.50,2470
09:35,554.10,2893
09:38,555.00,5046
09:41,555.00,5611
09:43,554.80,5616
09:46,554.85,5697
09:49,555.05,5848
09:52,555.20,7523
09:55,555.85,9394
09:58,556.35,10086
10:01,556.80,10674
10:04,555.95,11491
10:07,556.95,11694
10:10,557.00,11892
10:16,557.45,12254
10:18,557.60,12878
10:21,557.80,13008
10:24,557.35,13615
10:26,557.50,14237
10:29,557.40,14953
10:32,557.90,16246
10:34,557.65,16759
10:38,558.00,18221
10:41,558.80,18736
10:44,559.95,21624
10:47,560.00,23591
10:50,559.70,24801
10:53,559.55,25318
10:56,559.20,25513
10:59,559.00,25561
11:02,559.10,25757
11:05,559.50,26415
11:09,559.60,26631
11:10,559.05,27135
11:12,559.00,28555
11:15,559.05,28735
11:18,559.80,30327
11:21,559.65,30558
11:24,560.00,30976
11:27,560.60,31994
11:30,560.10,32269
11:33,560.80,33922
11:35,560.25,34034
11:38,558.85,34913
11:41,559.00,36031
11:44,559.00,36243
11:47,559.00,36479
11:50,559.05,36594
11:54,559.75,36788
11:57,559.65,37338
12:03,559.90,38513
12:06,559.50,38863
12:08,559.40,39183
12:12,559.05,41121
12:15,559.20,41576
12:17,559.05,41620
12:21,559.30,41806
12:24,559.00,41886
12:27,559.00,42456
12:30,559.85,42589
12:33,559.50,44188
12:36,560.00,45577
12:39,560.00,46628
12:41,560.00,46915
12:45,559.90,47556
12:48,560.00,47755
12:51,560.00,48032
12:54,560.00,48750
12:57,560.95,49086
12:59,561.00,49447
13:03,561.20,50231
13:06,561.55,50414
13:09,562.50,52935
13:12,561.30,53458
13:18,559.70,55098
13:21,560.90,55542
13:24,561.00,56253
13:27,561.25,56419
13:30,560.25,56860
13:32,559.00,57426
13:36,559.80,58506
13:39,560.00,59092
13:42,560.50,59658
13:45,560.70,59898
13:47,560.70,60183
13:51,561.00,60605
13:54,561.50,60750
13:57,561.30,61025
14:00,561.05,61291
14:03,561.15,62677
14:06,561.00,62779
14:09,561.00,63104
14:12,561.15,63299
14:15,561.00,63941
14:18,561.35,65141
14:21,560.60,65404
14:24,559.85,65462
14:27,559.25,65651
14:30,559.40,65769
14:34,560.00,66015
14:36,557.50,68829
14:40,559.00,75728
14:43,559.00,82760
14:45,559.00,83386
14:49,559.85,85868
14:51,559.00,88954
14:55,559.00,90027
14:58,559.60,90313
15:00,559.40,90503
15:04,557.65,96227
15:06,559.00,101080
15:09,559.55,104215
15:12,559.00,104679
15:15,559.00,110849
15:18,559.05,114637
15:21,559.15,117889
15:24,559.00,158328
15:27,559.45,167123
15:30,559.20,170185
