17 Jan 2014,416.50
09:01,406.50,0
09:04,415.95,0
09:07,415.85,0
09:08,415.85,0
09:16,414.20,4007
09:17,413.00,7433
09:20,415.65,19838
09:23,416.10,26255
09:26,417.00,44394
09:29,417.20,50486
09:32,417.40,55227
09:35,416.50,57576
09:38,414.50,69135
09:41,414.90,75553
09:43,416.20,76642
09:46,414.90,77883
09:49,415.00,79896
09:52,415.00,80815
09:55,414.75,82595
09:58,414.10,86689
10:01,414.05,90812
10:04,412.90,100417
10:07,412.65,109493
10:10,411.95,113456
10:16,411.90,119697
10:18,412.55,122226
10:21,413.00,126357
10:24,412.75,131254
10:26,413.40,132149
10:29,413.90,136945
10:32,413.55,138492
10:34,413.00,139377
10:38,412.00,142344
10:41,411.95,144641
10:44,411.80,148285
10:47,411.60,149969
10:50,411.50,155555
10:53,411.65,157807
10:56,411.50,159100
10:59,411.15,159729
11:02,411.40,161881
11:05,411.70,162843
11:09,411.85,165215
11:10,411.65,167521
11:12,411.25,171690
11:15,411.50,172368
11:18,410.15,176839
11:21,408.70,194346
11:24,408.80,206395
11:27,409.20,211568
11:30,408.65,217250
11:33,408.60,223704
11:35,408.00,225033
11:38,407.20,238921
11:41,407.00,244962
11:44,407.20,251017
11:47,406.80,258187
11:50,407.30,265371
11:54,407.60,277974
11:57,407.20,281246
12:03,404.50,302388
12:06,404.85,308411
12:08,404.60,310506
12:12,403.50,318111
12:15,401.75,339513
12:17,401.20,351876
12:21,402.65,360168
12:24,402.80,364826
12:27,403.05,369425
12:30,403.00,372217
12:33,404.15,377194
12:36,404.85,381112
12:39,404.50,385457
12:41,403.70,387335
12:45,404.25,391325
12:48,404.45,393272
12:51,404.45,393802
12:54,404.00,395229
12:57,404.10,396933
12:59,403.50,398429
13:03,402.20,402550
13:06,402.25,406601
13:09,402.00,412328
13:12,401.10,414461
13:18,401.75,422330
13:21,402.65,426684
13:24,403.05,429741
13:27,403.15,431806
13:30,402.75,432980
13:32,402.65,433304
13:36,404.00,438447
13:39,403.95,441502
13:42,404.40,446425
13:45,404.15,447713
13:47,404.00,449227
13:51,403.75,451400
13:54,404.05,454536
13:57,403.70,455401
14:00,403.60,456429
14:03,403.00,458905
14:06,403.95,461795
14:09,403.25,463806
14:12,402.55,465577
14:15,402.50,469581
14:18,403.10,473863
14:21,403.00,474667
14:24,403.40,476028
14:27,403.80,480273
14:30,404.00,482134
14:34,407.00,511484
14:36,403.05,527127
14:40,403.35,532709
14:43,403.00,537282
14:45,402.50,541086
14:49,404.20,551777
14:51,403.70,553549
14:55,404.00,557483
14:58,405.35,562407
15:00,405.50,565160
15:04,404.50,569844
15:06,404.25,573147
15:09,407.00,587719
15:12,405.40,601252
15:15,406.30,606843
15:18,406.55,621774
15:21,406.10,628682
15:24,407.00,640486
15:27,407.10,659049
15:30,406.55,683118
15:33,406.55,683118
15:36,406.55,683118
15:40,406.55,683118
