17 Jan 2014,673.05
09:07,675.00,513
09:20,669.90,57422
09:25,668.00,139576
09:30,666.90,234534
09:35,665.50,391084
09:40,664.90,461297
09:45,665.35,497880
09:49,665.95,535274
09:55,665.85,558488
10:00,665.10,575754
10:05,664.65,601899
10:10,663.80,627490
10:15,663.50,653706
10:20,662.90,683775
10:25,662.95,723776
10:30,659.40,792751
10:35,660.05,864541
10:40,661.00,909035
10:45,662.50,941994
10:50,663.00,981891
10:55,663.15,1068429
11:00,664.40,1147528
11:05,664.30,1218774
11:10,664.50,1293380
11:15,667.95,1373037
11:20,666.65,1475738
11:25,667.00,1530136
11:30,666.90,1571301
11:35,667.60,1613618
11:40,668.05,1667406
11:45,667.35,1723442
11:50,668.75,1778756
11:55,667.90,1816658
12:00,668.45,1875799
12:05,668.20,1916643
12:10,668.50,1956275
12:15,670.20,2032147
12:20,670.20,2104664
12:25,668.20,2144264
12:30,669.00,2195997
12:35,668.05,2224776
12:40,668.80,2296019
12:45,668.90,2334962
12:50,669.95,2366583
12:55,669.20,2421854
13:00,669.60,2470295
13:05,668.50,2508252
13:10,669.15,2543313
13:15,669.05,2571961
13:20,668.85,2598066
13:25,667.95,2642575
13:30,667.25,2669138
13:35,668.25,2700656
13:40,667.60,2725910
13:45,668.00,2753604
13:50,672.25,2984149
13:55,669.35,3136445
14:00,669.00,3214986
14:05,668.80,3311896
