17 Jan 2014,297.45
09:07,294.05,656
09:19,296.85,10771
09:25,296.55,14966
09:30,298.25,31611
09:34,298.65,38327
09:40,296.60,45790
09:45,296.50,52356
09:49,296.85,55034
09:54,296.40,56588
09:59,295.50,65567
10:04,296.45,70495
10:09,297.00,82985
10:14,297.25,86071
10:19,301.25,118322
10:24,300.70,154866
10:30,300.95,165357
10:35,299.50,176629
10:40,299.75,182380
10:45,300.60,186458
10:50,300.70,189168
10:54,302.20,219543
10:59,302.10,227845
11:05,302.00,236861
11:10,302.50,243985
11:14,302.75,250546
11:20,303.05,260484
11:25,301.50,283730
11:30,301.65,291840
11:35,301.85,297000
11:39,302.40,302015
11:45,301.95,307269
11:50,301.20,326971
11:54,301.50,332716
12:00,301.60,337672
12:05,300.60,345635
12:10,299.65,361364
12:15,299.60,381739
12:20,299.60,406573
12:25,297.80,420669
12:30,298.85,427407
12:35,299.65,436992
12:40,300.50,448538
12:45,300.65,456536
12:50,300.30,463413
12:55,299.50,491481
13:00,300.00,501543
13:05,298.80,511297
13:10,298.80,519559
13:15,298.10,527121
13:20,299.55,539224
13:25,299.95,553349
13:30,298.85,562510
13:35,299.85,568896
13:40,300.05,577915
13:45,299.55,586849
13:50,299.60,593541
13:55,299.55,601241
