17 Jan 2014,369.75
09:01,372.00,0
09:04,372.00,0
09:07,370.50,0
09:16,368.90,4962
09:17,369.10,6077
09:20,370.40,11448
09:23,370.75,15350
09:26,372.50,19822
09:29,372.10,24985
09:32,371.90,28061
09:35,372.65,29787
09:38,372.55,31209
09:41,372.50,33820
09:43,372.50,34180
09:46,372.50,35399
09:49,373.10,39453
09:52,373.60,44437
09:55,373.30,46145
09:58,372.95,47711
10:01,372.95,48251
10:04,373.00,48801
10:07,373.25,49817
10:10,373.00,50088
10:16,373.25,50379
10:18,373.15,51257
10:21,373.65,51929
10:24,373.75,54130
10:26,373.60,54155
10:29,373.70,54548
10:32,373.75,54939
10:34,373.40,55818
10:38,372.90,56343
10:41,373.00,56813
10:44,372.95,57010
10:47,372.60,67037
10:50,372.45,67612
10:53,372.75,67718
10:56,372.50,68428
10:59,372.50,68428
11:02,372.75,69103
11:05,372.95,69403
11:09,372.95,69454
11:10,372.95,69461
11:12,373.50,71345
11:15,373.25,72020
11:18,373.30,72780
11:21,373.05,74160
11:24,372.05,77742
11:27,372.60,78532
11:30,372.70,78750
11:33,372.75,79071
11:35,373.00,79556
11:38,373.20,279936
11:41,373.05,280159
11:44,373.00,280338
11:47,372.80,281119
11:50,372.60,281464
11:54,372.70,281660
11:57,372.60,281860
12:03,370.45,289473
12:06,370.00,292556
12:08,370.00,294068
12:12,370.40,596594
12:15,370.40,596795
12:17,369.85,599032
12:21,369.85,601743
12:24,369.75,602196
12:27,369.55,602789
12:30,370.00,603639
12:33,369.90,603807
12:36,369.95,604492
12:39,370.00,606036
12:41,370.05,608693
12:45,369.95,615899
12:48,370.10,617649
12:51,370.35,619810
12:54,370.30,620180
12:57,370.40,620395
12:59,370.40,620665
13:03,370.20,620884
13:06,370.15,621411
13:09,370.00,622653
13:12,370.05,624921
13:18,369.75,626899
13:21,370.00,627491
13:24,369.55,628601
13:27,369.60,628768
13:30,369.55,628941
13:32,369.15,632498
13:36,369.30,633533
13:39,369.30,633585
13:42,369.65,634456
13:45,369.65,635056
13:47,369.65,635192
13:51,369.00,640307
13:54,368.90,641429
13:57,368.90,645719
14:00,369.35,646435
14:03,369.15,646890
14:06,369.00,647647
14:09,368.95,647921
14:12,368.95,647925
14:15,369.05,648207
14:18,369.15,648571
14:21,368.75,650345
14:24,368.25,655696
14:27,368.25,656975
14:30,368.40,657390
14:34,369.55,661353
14:36,367.60,668955
14:40,368.00,672585
14:43,369.00,679458
14:45,369.20,680368
14:49,369.35,681229
14:51,369.00,684856
14:55,369.10,690944
14:58,369.70,691644
15:00,370.15,695798
15:04,369.15,701336
15:06,369.50,702948
15:09,369.80,704672
15:12,369.95,705953
15:15,370.65,708655
15:18,370.05,712140
15:21,370.00,714733
15:24,369.95,716641
15:27,369.40,724375
15:30,368.95,734285
15:34,368.95,734285
15:36,368.95,734285
15:39,368.95,734285
15:43,369.65,734504
