17 Jan 2014,206.85
09:26,208.60,1775
09:29,208.60,1775
09:32,207.00,1875
09:35,207.00,1875
09:38,207.60,1975
09:41,207.60,1975
09:43,207.60,1975
09:46,207.60,1975
09:49,207.60,1975
09:52,207.60,1975
09:55,207.50,1990
09:58,207.40,2025
10:01,206.50,2057
10:04,206.50,2057
10:07,205.25,2278
10:10,205.25,2278
10:16,205.00,2332
10:18,203.70,2348
10:21,203.70,2348
10:24,203.65,2387
10:26,203.65,2387
10:28,203.65,2387
10:32,202.10,2497
10:34,202.00,2553
10:38,200.50,2814
10:41,201.50,3009
10:44,201.50,3062
10:47,201.80,3312
10:50,203.00,3956
10:53,203.00,4027
10:56,203.00,4337
10:59,203.00,4337
11:02,203.00,4384
11:05,202.00,4425
11:09,202.00,4425
11:10,202.00,4425
11:12,203.05,4526
11:15,202.70,5029
11:18,202.70,5029
11:21,203.20,5044
11:24,203.20,5044
11:27,203.20,5044
11:30,203.00,5061
11:33,203.00,5061
11:35,203.00,5061
11:38,203.00,5061
11:41,202.80,5065
11:44,202.80,5065
11:47,202.80,5065
11:50,202.80,5065
11:54,202.80,5065
11:57,203.55,5150
12:03,203.50,5555
12:06,203.50,5555
12:08,203.50,5555
12:12,203.50,5555
12:15,203.10,5605
12:17,203.00,5611
12:21,202.55,5663
12:24,202.00,5664
12:27,202.00,5664
12:30,202.00,5664
12:33,201.35,5714
12:36,201.00,5737
12:38,201.00,5737
12:41,201.00,5867
12:45,201.35,5891
12:48,201.35,5891
12:51,201.00,5962
12:54,201.20,5969
12:57,201.40,5996
12:59,201.10,6006
13:03,202.00,6041
13:06,201.75,6062
13:09,201.55,6064
13:12,201.65,6077
13:18,201.00,6130
13:21,201.00,6133
13:24,201.00,6264
13:27,200.10,6520
13:30,199.40,7254
13:32,200.90,7437
13:36,200.45,8807
13:39,200.00,8828
13:42,200.80,8837
13:45,199.90,9139
13:47,199.90,9139
13:51,201.85,9144
13:54,201.85,9144
13:57,201.85,9144
14:00,201.85,9144
14:03,201.85,9144
14:06,201.00,9583
14:09,201.50,9584
14:12,201.25,9684
14:15,201.30,9796
14:18,201.80,9967
14:21,202.85,9976
14:24,202.60,10025
14:27,201.70,10027
14:30,201.70,10125
14:34,201.70,10125
14:36,200.25,10350
14:40,201.00,10386
14:43,200.00,10645
14:45,199.80,10833
14:49,199.90,10891
14:51,199.40,11054
14:55,199.50,11207
14:58,200.40,11637
15:00,199.80,11705
15:04,199.00,12105
15:06,198.90,12170
15:09,199.85,12410
15:12,199.90,12610
15:15,200.00,12622
15:18,199.15,13616
15:21,201.50,13920
15:24,201.00,14602
