17 Jan 2014,3725.05
09:07,3729.00,574
09:19,3731.65,76092
09:25,3728.00,133329
09:30,3735.15,164540
09:34,3735.90,173272
09:40,3734.75,203699
09:45,3743.90,221528
09:49,3743.45,254552
09:55,3737.85,276928
10:00,3741.15,299160
10:05,3743.50,316732
10:10,3745.00,340329
10:15,3741.90,350138
10:20,3743.20,370019
10:25,3747.00,420148
10:30,3746.90,443888
10:35,3747.00,570355
10:40,3748.30,591870
10:45,3750.40,614046
10:50,3751.25,639106
10:55,3750.30,670131
11:00,3752.70,721995
11:05,3760.00,794252
11:10,3760.40,850273
11:15,3759.95,880877
11:20,3756.85,905331
11:25,3757.50,935680
11:30,3752.40,959355
11:35,3753.90,981546
11:40,3752.05,995485
11:45,3754.50,1015871
11:50,3754.20,1034939
11:55,3758.30,1082013
12:00,3760.00,1374469
12:05,3758.40,1490835
12:10,3760.15,1526179
12:15,3759.40,1561540
12:20,3760.00,1593848
12:25,3759.70,1611760
12:30,3759.50,1735055
12:35,3759.00,1876509
12:40,3749.40,1950794
12:45,3750.35,1982368
12:50,3753.50,2025778
12:55,3755.00,2117681
13:00,3754.70,2162097
13:05,3751.55,2176158
13:10,3753.75,2197521
13:15,3752.40,2216119
13:20,3751.85,2231965
13:25,3748.90,2251713
13:30,3747.10,2291851
13:35,3746.75,2317250
13:40,3748.75,2356867
13:45,3745.60,2373836
13:50,3741.30,2401574
13:55,3739.90,2429973
