17 Jan 2014,412.65
09:16,413.00,150
09:17,414.00,275
09:20,415.30,1092
09:23,416.20,2026
09:26,416.90,2596
09:29,417.35,3074
09:32,416.95,3274
09:35,417.90,3604
09:38,417.00,3719
09:41,416.65,3994
09:43,417.00,4924
09:46,416.60,5334
09:49,416.50,5510
09:52,416.90,6514
09:55,416.90,6827
09:58,418.25,7563
10:01,418.80,10985
10:04,418.15,11573
10:07,418.90,12050
10:10,418.55,12842
10:16,418.90,14364
10:18,418.70,15065
10:21,419.00,17430
10:24,419.80,18605
10:26,420.60,23009
10:29,421.60,24115
10:32,421.45,27068
10:34,421.50,28675
10:38,420.50,31447
10:41,420.00,31851
10:44,420.25,32984
10:47,419.75,33221
10:50,419.55,33458
10:53,419.80,34056
10:56,419.60,34396
10:59,419.60,34399
11:02,418.15,36143
11:05,419.40,36734
11:09,419.25,37739
11:10,419.25,37739
11:12,419.25,38464
11:15,419.50,38893
11:18,419.70,39118
11:21,418.45,39636
11:24,417.50,40666
11:27,417.70,41056
11:30,417.40,41945
11:33,417.45,44421
11:35,417.30,44433
11:38,417.05,44743
11:41,417.45,45045
11:44,417.50,45170
11:47,417.00,45573
11:50,417.05,45576
11:54,417.35,46226
11:57,417.40,46301
12:03,416.00,47340
12:06,416.25,47505
12:08,415.65,47566
12:12,415.70,47811
12:15,416.15,47848
12:17,416.20,48564
12:21,415.95,48773
12:24,416.00,48847
12:27,415.15,49167
