17 Jan 2014,1058.90
09:07,1053.40,967
09:20,1055.00,45144
09:25,1054.30,70836
09:30,1055.00,94427
09:34,1059.80,134363
09:40,1057.50,159265
09:45,1055.55,182535
09:49,1057.00,192176
09:55,1055.20,199255
10:00,1056.50,205470
10:05,1058.65,221933
10:10,1057.70,229927
10:15,1059.00,236318
10:20,1059.75,253722
10:25,1059.45,264739
10:30,1060.00,274893
10:35,1059.00,288191
10:40,1058.80,297428
10:45,1059.45,304875
10:50,1057.75,312827
10:55,1058.00,317579
11:00,1057.50,321669
11:05,1057.75,328864
11:10,1057.65,334360
11:15,1057.35,338509
11:19,1055.80,352682
11:25,1054.85,379598
11:30,1055.50,391913
11:35,1055.00,399698
11:40,1053.80,417376
11:45,1053.00,438580
11:50,1053.00,454361
11:55,1052.95,462196
12:00,1053.50,467340
12:05,1052.70,482743
12:10,1049.70,520369
12:15,1049.35,536641
12:20,1049.00,558768
12:25,1045.00,601172
12:30,1047.20,623367
12:35,1047.75,641248
12:40,1047.20,649694
12:45,1047.05,659775
12:50,1047.00,685364
12:55,1046.80,698562
13:00,1047.55,704527
13:05,1046.35,711262
13:10,1046.70,720513
13:15,1046.60,725996
13:20,1047.80,734438
13:25,1046.95,743659
13:30,1046.10,754059
13:35,1047.95,764247
