17 Jan 2014,1391.90
09:01,1400.00,0
09:04,1400.00,0
09:07,1399.00,0
09:08,1396.30,0
09:16,1387.35,4740
09:17,1387.50,6718
09:20,1385.60,11188
09:23,1382.90,12366
09:26,1385.00,13163
09:29,1389.00,14549
09:32,1390.50,16664
09:35,1396.00,21447
09:38,1392.10,27011
09:41,1388.55,28139
09:43,1388.75,28646
09:46,1383.00,30245
09:49,1383.00,31274
09:52,1383.90,31741
09:55,1376.30,35295
09:58,1376.65,39308
10:01,1379.05,40375
10:04,1377.00,41032
10:07,1380.00,41666
10:10,1376.00,42407
10:16,1375.00,43831
10:18,1374.95,43866
10:21,1376.25,44547
10:24,1378.90,45030
10:26,1377.00,45185
10:29,1378.10,45276
10:32,1377.90,45411
10:34,1376.50,45745
10:38,1378.00,46066
10:41,1379.45,46139
10:44,1380.90,46718
10:47,1378.20,46956
10:50,1378.00,47199
10:53,1379.05,47555
10:56,1383.05,48770
10:59,1383.40,49091
11:02,1389.80,50631
11:05,1389.90,51436
11:09,1388.05,51927
11:10,1388.80,51985
11:12,1385.40,53229
11:15,1387.20,55154
11:18,1388.00,55830
11:21,1385.55,57513
11:24,1384.15,57894
11:27,1383.00,58525
11:30,1379.75,59637
11:33,1382.35,59858
11:35,1384.25,59923
11:38,1384.00,60060
11:41,1386.00,60155
11:44,1387.20,60422
11:47,1384.90,60517
11:50,1388.00,60702
11:54,1386.10,62590
11:57,1386.00,63732
12:03,1386.40,65065
12:06,1387.25,66164
12:08,1383.75,66783
12:12,1386.35,67001
12:15,1389.15,67998
12:17,1388.25,68007
12:21,1390.55,68550
12:24,1391.15,68870
12:27,1395.00,70117
12:30,1394.00,71500
12:33,1393.00,72010
12:36,1391.10,72479
12:39,1390.90,72938
12:41,1390.00,73131
12:45,1392.30,73357
12:48,1391.05,73387
12:51,1391.10,73750
12:54,1392.00,73895
12:57,1392.00,74035
12:59,1392.00,74035
13:03,1394.00,75310
13:06,1394.00,75536
13:09,1391.10,76270
13:12,1390.05,76532
13:18,1390.50,77105
13:21,1389.00,77257
13:24,1388.95,77572
13:27,1386.00,77996
13:30,1382.55,79589
13:32,1384.00,79875
13:36,1386.55,80324
13:39,1388.00,80434
13:42,1388.00,80586
13:45,1387.45,80952
13:47,1387.10,81212
13:51,1386.65,82143
13:54,1385.05,82432
13:57,1383.05,82830
14:00,1382.70,83120
14:03,1378.60,84717
14:06,1382.80,85067
14:09,1382.70,85570
14:12,1383.85,86368
14:15,1385.00,86737
14:18,1386.05,87366
14:21,1385.35,87825
14:24,1386.60,88208
14:27,1387.00,88292
14:30,1386.00,88544
14:34,1383.00,89272
14:36,1379.85,90260
14:40,1379.00,91389
14:43,1371.50,93778
14:45,1371.65,94225
14:49,1373.30,97202
14:51,1373.25,98391
14:55,1378.00,98732
