17 Jan 2014,2076.65
09:07,2078.85,45
09:20,2082.95,1403
09:25,2089.50,3334
09:30,2082.80,5054
09:34,2092.00,7363
09:40,2087.85,9437
09:44,2088.55,10566
09:50,2081.80,18968
09:55,2089.55,26180
09:59,2092.00,27735
10:05,2089.00,29583
10:10,2089.45,29872
10:15,2085.00,30618
10:20,2084.60,32402
10:25,2082.90,34025
10:30,2086.90,44729
10:35,2082.25,54227
10:40,2082.65,56330
10:45,2084.00,57643
10:50,2083.35,58460
10:55,2085.40,59972
11:00,2085.50,61632
11:05,2089.05,62857
11:10,2089.40,63358
11:15,2091.90,63837
11:19,2090.35,65054
11:25,2090.50,66053
11:30,2091.75,67128
11:35,2091.35,69637
11:40,2093.65,70466
11:45,2094.00,72291
11:49,2095.40,83458
11:54,2095.50,86500
11:59,2095.50,89674
12:05,2094.40,91631
12:10,2094.20,92781
12:15,2094.65,93614
12:20,2092.65,95316
12:25,2091.00,97633
12:30,2092.55,99142
12:35,2091.60,100796
12:40,2093.00,102444
12:45,2093.00,103429
12:50,2093.00,104649
12:55,2092.20,105918
13:00,2091.50,106951
13:05,2093.00,108673
13:10,2092.05,109956
13:15,2092.00,110967
13:20,2089.75,112178
13:25,2091.40,113124
13:30,2090.95,113852
13:35,2091.25,115607
13:40,2091.25,116696
13:45,2091.00,117802
13:50,2091.00,118724
13:55,2091.50,119632
14:00,2091.50,120556
14:05,2091.00,121613
14:10,2091.50,122555
14:15,2091.75,123241
14:20,2091.90,124659
14:25,2092.00,125197
14:35,2086.10,129850
14:40,2086.30,132130
14:45,2082.70,135122
14:50,2083.50,135801
14:55,2078.95,138543
15:00,2083.00,141236
15:05,2073.80,149381
15:10,2080.00,159651
15:15,2080.00,167069
15:20,2074.60,175936
