17 Jan 2014,1002.80
09:01,1007.00,0
09:04,995.00,0
09:07,1002.80,0
09:08,1002.80,0
09:16,1004.30,543
09:17,1004.00,2300
09:20,1002.00,3705
09:23,1000.00,4798
09:26,1001.40,5800
09:29,1001.00,6828
09:32,1003.00,8603
09:35,1006.05,11062
09:38,1003.25,13179
09:41,1004.15,13843
09:43,1005.55,14292
09:46,1006.30,15460
09:49,1005.00,30462
09:52,1005.40,32233
09:55,1004.30,32730
09:58,1003.05,34364
10:01,1004.60,35297
10:04,1006.00,35623
10:07,1007.80,37176
10:10,1006.00,37800
10:16,1004.90,38381
10:18,1006.90,38583
10:21,1006.00,38845
10:24,1006.95,39162
10:26,1006.55,39341
10:29,1006.50,39359
10:32,1007.65,39834
10:34,1005.80,40113
10:38,1005.85,41607
10:41,1005.35,41873
10:44,1005.00,42248
10:47,1005.10,42542
10:50,1004.00,42688
10:53,1004.20,43394
10:56,1004.50,43806
10:59,1004.15,43867
11:02,1004.80,44167
11:05,1005.00,45751
11:09,1003.00,45930
11:10,1001.70,46672
11:12,1002.15,47252
11:15,999.90,49312
11:18,1001.15,50196
11:21,997.90,52555
11:24,998.80,55458
11:27,999.90,57021
11:30,999.00,57807
11:33,1000.30,59228
11:35,1001.90,60376
11:38,1001.60,61086
11:41,1001.60,61335
11:44,1000.50,61598
11:47,1000.80,62532
11:50,1003.00,63657
11:54,1002.00,64393
11:57,1000.80,64545
12:03,1000.75,65067
12:06,1000.30,65896
12:08,999.60,66589
12:12,998.10,67625
12:15,999.00,67912
12:17,998.50,68360
12:21,999.35,69247
12:24,998.20,69504
12:27,998.00,69978
12:30,1000.00,72700
12:33,1001.65,73789
12:36,1001.60,74365
12:39,1002.95,74604
12:41,1002.00,75231
12:45,1000.40,75620
12:48,1002.10,76119
12:51,1001.20,76271
12:54,1001.00,76395
12:57,1001.55,76453
12:59,1001.10,76668
13:03,1001.40,77230
13:06,1000.65,77410
13:09,1001.00,77683
13:12,1000.35,77919
13:18,999.00,78375
13:21,1000.40,78828
13:24,1001.90,79062
13:27,1000.50,79132
13:30,1000.00,80194
13:32,999.65,80279
13:36,1001.10,80604
13:39,1001.80,80854
13:42,1001.20,81053
13:45,1001.50,81515
13:47,1000.55,81625
13:51,1002.00,81843
13:54,1001.30,81954
13:57,1001.95,82747
14:00,1002.00,83149
14:03,1002.00,83913
14:06,1001.55,83997
14:09,1003.20,84349
14:12,1003.55,85514
14:15,1005.80,87318
14:18,1008.00,93005
14:21,1006.80,94246
14:24,1006.60,95933
